,seed,model,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,relative_l2_train,relative_l2_val,success,training_time
0,1,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2630975071632014,2727.061297158113,0.26666666666666666,8.3712
1,1,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.263190470323135,2727.0613802064026,0.26666666666666666,18.233999999999998
2,1,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.263190470323135,2727.0613802064026,0.26666666666666666,34.78959999999999
3,1,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.263190470323135,2727.0613802064026,0.26666666666666666,67.92906666666666
4,1,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2427128793344285,2727.0426412745683,0.26666666666666666,163.06146666666666
5,1,ParFamTorch,1000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2122345638562801,2727.011163711351,0.26666666666666666,320.29066666666665
6,1,ParFamTorch,2000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21762715004290667,0.22131849574028875,0.4,723.2047333333334
7,12,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2101745465805133,2054.6792651133223,0.3333333333333333,7.805466666666666
8,12,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2101745465805133,2054.6792651133223,0.3333333333333333,17.380999999999997
9,12,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2101745465805133,2054.6792651133223,0.3333333333333333,33.36893333333333
10,12,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21027508320037397,2054.6793792582253,0.3333333333333333,65.15146666666666
11,12,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2103433950686873,2054.6794579094008,0.3333333333333333,160.71453333333332
12,12,ParFamTorch,1000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21047134544682414,2054.6795980004113,0.3333333333333333,319.71113333333335
13,12,ParFamTorch,2000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2123692137617164,573.1093827171914,0.4,725.0018
14,123,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.43423149037512687,1659.3153688989269,0.26666666666666666,7.8028666666666675
15,123,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22199995260764688,1659.0968478708721,0.26666666666666666,17.5322
16,123,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22199995260764688,1659.0968478708721,0.26666666666666666,33.485800000000005
17,123,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22266069904433247,1659.097479328282,0.26666666666666666,65.30586666666666
18,123,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22267196350645393,1659.0974867443877,0.26666666666666666,160.569
19,123,ParFamTorch,1000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22174874317164564,1659.0966186021385,0.26666666666666666,319.53340000000003
20,123,ParFamTorch,2000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.1867186446060458,0.1896863251530223,0.6,723.4928
21,1234,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21630448660523316,3958.2397347804244,0.26666666666666666,7.751
22,1234,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21630448660523316,3958.2397347804244,0.26666666666666666,17.322266666666668
23,1234,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21630448660523316,3958.2397347804244,0.26666666666666666,33.27433333333333
24,1234,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21630448660523316,3958.2397347804244,0.26666666666666666,65.02313333333333
25,1234,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21630448660523316,3958.2397347804244,0.26666666666666666,160.50726666666665
26,1234,ParFamTorch,1000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21538732211018646,3958.238912906926,0.26666666666666666,319.236
27,1234,ParFamTorch,2000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.19378710035860688,96.88826306257745,0.5333333333333333,725.8033333333333
28,12345,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2187872644664292,3209.0702454539423,0.2,7.937266666666667
29,12345,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2187872644664292,3209.0702454539423,0.2,17.4674
30,12345,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2187872644664292,3209.0702454539423,0.2,33.370733333333334
31,12345,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2187872644664292,3209.0702454539423,0.2,65.16760000000001
32,12345,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.17233863630914534,3209.019747751263,0.2,160.61493333333334
33,12345,ParFamTorch,1000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.17238737141587393,3209.019793051316,0.2,319.38146666666665
34,12345,ParFamTorch,2000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.1754684430371207,305.8051314384728,0.5333333333333333,722.8668
35,123456,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.23786254397408702,2018.9150374273179,0.3333333333333333,7.758066666666666
36,123456,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.23786254397408702,2018.9150374273179,0.3333333333333333,17.265666666666668
37,123456,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.23810263145882463,2018.9152608884833,0.3333333333333333,33.272133333333336
38,123456,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.23810263145882463,2018.9152608884833,0.3333333333333333,65.03573333333333
39,123456,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.23698819648552422,2018.914249059141,0.3333333333333333,160.39926666666668
40,123456,ParFamTorch,1000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2371822003182985,2018.9144237827263,0.3333333333333333,319.03093333333334
41,123456,ParFamTorch,2000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.20367328499418866,180.22281631899097,0.5333333333333333,723.5858000000001
42,1234567,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2397495581763515,1237.0809108580643,0.26666666666666666,7.874066666666667
43,1234567,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2397495581763515,1237.0809108580643,0.26666666666666666,17.462133333333334
44,1234567,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2397495581763515,1237.0809108580643,0.26666666666666666,33.39373333333334
45,1234567,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.18872719767247967,1237.0295130084621,0.26666666666666666,65.29826666666666
46,1234567,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.18817673330275758,1237.0289650769378,0.26666666666666666,160.65040000000002
47,1234567,ParFamTorch,1000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.18831460039015588,1237.0291019888136,0.26666666666666666,319.2062666666667
48,1234567,ParFamTorch,2000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21248550526385795,655.7773219975265,0.5333333333333333,724.3682000000001
